group_column,group,variant,document_count,token_count,vocabulary_size,token_retention,raw_vocabulary_overlap
label__agreement_band__topic,0|borderline|Ahmadiyah,raw,12,3206,1019,1.0,1.0
label__agreement_band__topic,0|borderline|Ahmadiyah,lowercase,12,3206,1019,1.0,1.0
label__agreement_band__topic,0|borderline|Ahmadiyah,leet_decode,12,3207,1020,1.0003119151590767,0.9911678115799804
label__agreement_band__topic,0|borderline|Ahmadiyah,collapse_repetition,12,3206,1019,1.0,0.9980372914622179
label__agreement_band__topic,0|borderline|Ahmadiyah,expand_emoji,12,3244,1025,1.0118527760449159,1.0
label__agreement_band__topic,0|borderline|Ahmadiyah,expand_slang,12,3206,1017,1.0,0.9980372914622179
label__agreement_band__topic,0|borderline|Ahmadiyah,keep_hashtag_content,12,3206,1019,1.0,1.0
label__agreement_band__topic,0|borderline|Ahmadiyah,remove_hashtag,12,3203,1017,0.9990642545227698,0.9980372914622179
label__agreement_band__topic,0|borderline|Ahmadiyah,remove_url,12,3081,986,0.9610106051154086,0.9676153091265947
label__agreement_band__topic,0|borderline|Ahmadiyah,remove_mention,12,3205,1019,0.9996880848409233,1.0
label__agreement_band__topic,0|borderline|Ahmadiyah,remove_punctuation,12,3206,1019,1.0,1.0
label__agreement_band__topic,0|borderline|Ahmadiyah,remove_emoji,12,3042,984,0.9488459139114162,0.9627085377821394
label__agreement_band__topic,0|borderline|Ahmadiyah,full_normalize,12,3245,1021,1.0121646912039926,0.985279685966634
label__agreement_band__topic,0|borderline|Ahmadiyah,existing_cleaner,12,3077,984,0.9597629444791017,0.9656526005888125
label__agreement_band__topic,"0|borderline|Ahmadiyah, Kristen",raw,1,79,62,1.0,1.0
label__agreement_band__topic,"0|borderline|Ahmadiyah, Kristen",lowercase,1,79,62,1.0,1.0
label__agreement_band__topic,"0|borderline|Ahmadiyah, Kristen",leet_decode,1,79,62,1.0,1.0
label__agreement_band__topic,"0|borderline|Ahmadiyah, Kristen",collapse_repetition,1,79,62,1.0,1.0
label__agreement_band__topic,"0|borderline|Ahmadiyah, Kristen",expand_emoji,1,79,62,1.0,1.0
label__agreement_band__topic,"0|borderline|Ahmadiyah, Kristen",expand_slang,1,79,62,1.0,1.0
label__agreement_band__topic,"0|borderline|Ahmadiyah, Kristen",keep_hashtag_content,1,79,62,1.0,1.0
label__agreement_band__topic,"0|borderline|Ahmadiyah, Kristen",remove_hashtag,1,79,62,1.0,1.0
label__agreement_band__topic,"0|borderline|Ahmadiyah, Kristen",remove_url,1,79,62,1.0,1.0
label__agreement_band__topic,"0|borderline|Ahmadiyah, Kristen",remove_mention,1,79,62,1.0,1.0
label__agreement_band__topic,"0|borderline|Ahmadiyah, Kristen",remove_punctuation,1,79,62,1.0,1.0
label__agreement_band__topic,"0|borderline|Ahmadiyah, Kristen",remove_emoji,1,79,62,1.0,1.0
label__agreement_band__topic,"0|borderline|Ahmadiyah, Kristen",full_normalize,1,79,62,1.0,1.0
label__agreement_band__topic,"0|borderline|Ahmadiyah, Kristen",existing_cleaner,1,79,62,1.0,1.0
label__agreement_band__topic,0|borderline|Disabilitas,raw,400,10489,3695,1.0,1.0
label__agreement_band__topic,0|borderline|Disabilitas,lowercase,400,10489,3695,1.0,1.0
label__agreement_band__topic,0|borderline|Disabilitas,leet_decode,400,10489,3693,1.0,0.9856562922868741
label__agreement_band__topic,0|borderline|Disabilitas,collapse_repetition,400,10489,3687,1.0,0.9878213802435724
label__agreement_band__topic,0|borderline|Disabilitas,expand_emoji,400,10736,3710,1.0235484793593288,0.9981055480378891
label__agreement_band__topic,0|borderline|Disabilitas,expand_slang,400,10494,3658,1.0004766898655735,0.9875507442489851
label__agreement_band__topic,0|borderline|Disabilitas,keep_hashtag_content,400,10489,3695,1.0,1.0
label__agreement_band__topic,0|borderline|Disabilitas,remove_hashtag,400,10323,3571,0.9841738964629612,0.9664411366711773
label__agreement_band__topic,0|borderline|Disabilitas,remove_url,400,10467,3684,0.9979025645914767,0.9970230040595399
label__agreement_band__topic,0|borderline|Disabilitas,remove_mention,400,10440,3665,0.9953284393173801,0.9918809201623816
label__agreement_band__topic,0|borderline|Disabilitas,remove_punctuation,400,10489,3695,1.0,1.0
label__agreement_band__topic,0|borderline|Disabilitas,remove_emoji,400,10451,3669,0.9963771570216418,0.9916102841677943
label__agreement_band__topic,0|borderline|Disabilitas,full_normalize,400,10692,3637,1.0193536085422823,0.950744248985115
label__agreement_band__topic,0|borderline|Disabilitas,existing_cleaner,400,10252,3527,0.977404900371818,0.9545331529093369
label__agreement_band__topic,0|borderline|Jewish,raw,384,14130,4065,1.0,1.0
label__agreement_band__topic,0|borderline|Jewish,lowercase,384,14131,4064,1.000070771408351,0.9997539975399754
label__agreement_band__topic,0|borderline|Jewish,leet_decode,384,14131,4064,1.000070771408351,0.9881918819188192
label__agreement_band__topic,0|borderline|Jewish,collapse_repetition,384,14130,4063,1.0,0.9960639606396064
label__agreement_band__topic,0|borderline|Jewish,expand_emoji,384,14257,4075,1.0089879688605803,0.9997539975399754
label__agreement_band__topic,0|borderline|Jewish,expand_slang,384,14133,4038,1.0002123142250532,0.9921279212792128
label__agreement_band__topic,0|borderline|Jewish,keep_hashtag_content,384,14121,4057,0.9993630573248408,0.9958179581795817
label__agreement_band__topic,0|borderline|Jewish,remove_hashtag,384,13632,3843,0.964755838641189,0.9453874538745387
label__agreement_band__topic,0|borderline|Jewish,remove_url,384,14126,4063,0.9997169143665959,0.9995079950799508
label__agreement_band__topic,0|borderline|Jewish,remove_mention,384,14051,4020,0.994409058740269,0.988929889298893
label__agreement_band__topic,0|borderline|Jewish,remove_punctuation,384,14130,4065,1.0,1.0
label__agreement_band__topic,0|borderline|Jewish,remove_emoji,384,14063,4043,0.9952583156404813,0.990159901599016
