subset,token,label,document_count,document_rate,log_odds
unanimous,shio,0,707,0.030507011866235167,4.490253307352409
unanimous,result,0,547,0.02360302049622438,4.226782294066045
unanimous,september,0,532,0.02295577130528587,4.19834006868715
unanimous,prediksi,0,457,0.019719525350593313,4.043227320298639
unanimous,senin,0,418,0.01803667745415318,3.952412134661986
unanimous,togel,0,410,0.017691477885652642,3.9327597029361723
unanimous,pemenang,0,379,0.016353829557713053,3.8528775875606596
unanimous,jp,0,346,0.014929881337648328,3.7604592654652933
unanimous,kesehatan,0,281,0.012125134843581445,3.5498657466683583
unanimous,28,0,277,0.011952535059331176,3.5353795330848254
unanimous,asian,0,253,0.010916936353829558,3.4438748682190816
unanimous,pools,0,249,0.010744336569579288,3.427795474566852
unanimous,games,0,245,0.010571736785329019,3.4114590512372764
unanimous,kuala,0,230,0.009924487594390506,3.347759029717173
unanimous,nasional,0,224,0.009665587918015103,3.321122419464231
unanimous,pasaran,0,224,0.009665587918015103,3.321122419464231
unanimous,tolol,1,34,0.02402826855123675,3.291925669613641
unanimous,jackpot,0,208,0.008975188781014025,3.2464888742051343
unanimous,2d,0,201,0.008673139158576051,3.2120344822971987
unanimous,prize,0,189,0.008155339805825243,3.1501119435712477
unanimous,pesek,1,32,0.022614840989399292,3.141725914003022
unanimous,kecamatan,0,182,0.007853290183387271,3.112168611860174
unanimous,wahabi,1,31,0.021908127208480566,3.1097508271148815
unanimous,prediksitogel,0,176,0.007594390507011866,3.0784784059406975
unanimous,togelonline,0,175,0.007551240560949299,3.07275309421239
unanimous,whatsapp,0,175,0.007551240560949299,3.07275309421239
unanimous,kadrun,1,23,0.01625441696113074,3.0504476983925777
unanimous,sesat,1,25,0.0176678445229682,3.0308225046360042
unanimous,laknatullah,1,50,0.0353356890459364,3.002230381848967
unanimous,juara,0,162,0.006990291262135922,2.995227007640269
unanimous,prediksichina,0,161,0.0069471413160733545,2.9890106967212406
unanimous,memberi,0,150,0.006472491909385114,2.9179907928864997
unanimous,order,0,148,0.006386192017259979,2.904525810492263
unanimous,togelchina,0,143,0.006170442286947141,2.8700587793284886
unanimous,ujarnya,0,140,0.006040992448759439,2.8488009906518426
unanimous,bangladesh,0,139,0.005997842502696872,2.841614692825165
unanimous,joo,0,139,0.005997842502696872,2.841614692825165
unanimous,21,0,411,0.01773462783171521,2.835917718763424
unanimous,final,0,137,0.005911542610571737,2.827087193694733
unanimous,penolakan,0,135,0.005825242718446602,2.8123481094684104
unanimous,lengkap,0,133,0.005738942826321467,2.7973911470843844
unanimous,hadir,0,129,0.005566343042071198,2.7667969731739244
unanimous,temukan,0,129,0.005566343042071198,2.7667969731739244
unanimous,4d,0,128,0.00552319309600863,2.759001606774425
unanimous,fyp,0,126,0.005436893203883495,2.743228237063924
unanimous,hangzhou,0,123,0.0053074433656957925,2.719096938766635
unanimous,bali,0,121,0.005221143473570658,2.702683290756442
unanimous,badminton,0,120,0.005177993527508091,2.694375406367396
unanimous,full,0,120,0.005177993527508091,2.694375406367396
unanimous,join,0,119,0.005134843581445523,2.6859986521503685
unanimous,togeljitu,0,116,0.005005393743257821,2.660443447096891
unanimous,pengeluaran,0,335,0.014455231930960086,2.628397684096297
unanimous,200,0,112,0.0048327939590075515,2.6253319464799234
unanimous,mendesak,0,111,0.004789644012944984,2.6163599581220183
unanimous,pertemuan,0,111,0.004789644012944984,2.6163599581220183
unanimous,bid,1,17,0.012014134275618375,2.600936858227252
unanimous,32,0,109,0.004703344120819849,2.5981732068904333
unanimous,informasi,0,323,0.013937432578209277,2.591449597046439
unanimous,keterangan,0,108,0.004660194174757282,2.588955478639703
unanimous,bank,0,107,0.004617044228694714,2.579652803131529
unanimous,dimulai,0,107,0.004617044228694714,2.579652803131529
unanimous,perjalanan,0,107,0.004617044228694714,2.579652803131529
unanimous,minat,0,105,0.004530744336569579,2.560786213926464
unanimous,night,0,105,0.004530744336569579,2.560786213926464
unanimous,dajjal,1,22,0.015547703180212015,2.5391500591219667
unanimous,joko,0,102,0.004401294498381877,2.5318080318493714
unanimous,lowongan,0,102,0.004401294498381877,2.5318080318493714
unanimous,sebesar,0,102,0.004401294498381877,2.5318080318493714
unanimous,tempodunia,0,102,0.004401294498381877,2.5318080318493714
unanimous,korea,0,303,0.013074433656957929,2.5267572985793203
unanimous,hubungi,0,101,0.00435814455231931,2.521960692929826
unanimous,naga,0,101,0.00435814455231931,2.521960692929826
unanimous,beritaterkini,0,99,0.004271844660194175,2.5019728666010366
unanimous,neraka,1,19,0.01342756183745583,2.5012738082012893
unanimous,kualifikasi,0,98,0.004228694714131607,2.491828437425636
unanimous,colok,0,97,0.00418554476806904,2.4815809359401824
unanimous,pemeriksaan,0,97,0.00418554476806904,2.4815809359401824
unanimous,usai,0,288,0.012427184466019418,2.4754151795988455
unanimous,jaya,0,96,0.004142394822006472,2.47122823684763
unanimous,ular,0,96,0.004142394822006472,2.47122823684763
unanimous,angkajitu,0,95,0.004099244875943905,2.4607681484330417
unanimous,ayam,0,95,0.004099244875943905,2.4607681484330417
unanimous,balai,0,95,0.004099244875943905,2.4607681484330417
unanimous,medali,0,94,0.004056094929881337,2.4501984097669176
unanimous,usk,0,94,0.004056094929881337,2.4501984097669176
unanimous,banda,0,274,0.011823085221143474,2.42505985400248
unanimous,lokasi,0,273,0.011779935275080906,2.4213665506061295
unanimous,04,0,91,0.003926645091693636,2.417807581772834
unanimous,asean,0,91,0.003926645091693636,2.417807581772834
unanimous,sunnah,1,24,0.01696113074204947,2.4125196689046327
unanimous,titik,0,90,0.003883495145631068,2.4067751420252588
unanimous,dewan,0,89,0.0038403451995685004,2.395620600304591
unanimous,jadwal,0,89,0.0038403451995685004,2.395620600304591
unanimous,and,0,264,0.011391585760517799,2.3875132870352545
unanimous,berisi,0,88,0.003797195253505933,2.384341212618288
unanimous,forum,0,88,0.003797195253505933,2.384341212618288
unanimous,kartu,0,87,0.0037540453074433656,2.3729341414246536
unanimous,daftar,0,260,0.01121898597626753,2.372100327352992
unanimous,chinaopen2023,0,86,0.003710895361380798,2.3613964513314945
unanimous,kepolisian,0,86,0.003710895361380798,2.3613964513314945
unanimous,tulis,0,86,0.003710895361380798,2.3613964513314945
unanimous,biadab,1,38,0.02685512367491166,2.3518109306670127
unanimous,adadikompas,0,85,0.003667745415318231,2.349725104544684
unanimous,contact,0,85,0.003667745415318231,2.349725104544684
unanimous,meningkatkan,0,85,0.003667745415318231,2.349725104544684
unanimous,utamakan,0,85,0.003667745415318231,2.349725104544684
unanimous,mendorong,0,84,0.0036245954692556634,2.3379169560489763
unanimous,prediksitogelhariini,0,84,0.0036245954692556634,2.3379169560489763
unanimous,twins,0,84,0.0036245954692556634,2.3379169560489763
unanimous,desember,0,250,0.010787486515641856,2.3325200960207333
unanimous,bbfs,0,83,0.003581445523193096,2.3259687485019445
unanimous,bulutangkis,0,83,0.003581445523193096,2.3259687485019445
unanimous,duta,0,83,0.003581445523193096,2.3259687485019445
unanimous,sumatera,0,83,0.003581445523193096,2.3259687485019445
unanimous,kerbau,0,82,0.0035382955771305286,2.3138771068203017
unanimous,sunni,1,18,0.012720848056537103,2.3071594996116893
unanimous,2023,0,2969,0.12811218985976267,2.302972420481197
unanimous,energi,0,81,0.003495145631067961,2.3016385324360984
unanimous,loker,0,81,0.003495145631067961,2.3016385324360984
unanimous,size,0,81,0.003495145631067961,2.3016385324360984
unanimous,prediksijitu,0,80,0.003451995685005394,2.289249397198334
unanimous,sektor,0,80,0.003451995685005394,2.289249397198334
unanimous,v,0,80,0.003451995685005394,2.289249397198334
unanimous,januari,0,237,0.01022653721682848,2.2786619055312918
unanimous,asiangames2022,0,79,0.0034088457389428264,2.2767059368933964
unanimous,bb,0,79,0.0034088457389428264,2.2767059368933964
unanimous,koordinator,0,79,0.0034088457389428264,2.2767059368933964
unanimous,meuseuraya,0,79,0.0034088457389428264,2.2767059368933964
unanimous,penggunaan,0,79,0.0034088457389428264,2.2767059368933964
unanimous,sambut,0,79,0.0034088457389428264,2.2767059368933964
unanimous,taiwan,0,79,0.0034088457389428264,2.2767059368933964
unanimous,november,0,391,0.016871628910463864,2.2736832014947193
unanimous,center,0,78,0.003365695792880259,2.264004244355362
unanimous,paus,0,78,0.003365695792880259,2.264004244355362
unanimous,polresta,0,78,0.003365695792880259,2.264004244355362
unanimous,slotonline,0,78,0.003365695792880259,2.264004244355362
unanimous,tai,1,12,0.008480565371024734,2.2608957384461164
unanimous,150,0,77,0.0033225458468176916,2.2511402621346237
unanimous,beijing,0,77,0.0033225458468176916,2.2511402621346237
unanimous,harimau,0,77,0.0033225458468176916,2.2511402621346237
unanimous,perdagangan,0,77,0.0033225458468176916,2.2511402621346237
unanimous,fikri,0,76,0.003279395900755124,2.238109774690407
